profileID,speciality,fees,opentime,closetime,patient
HU54 2565 3130 5031 0399 0007 3003,ULTI,$63.83,8:45 AM,9:01 PM,Van Sacaze
GE29 LB57 7660 2529 1273 04,MDT,$95.48,9:19 AM,9:26 PM,Remy Dolman
IE96 LRMJ 0210 1367 3339 62,BEL,$98.11,8:21 AM,6:45 PM,Dianemarie Peacher
BA29 5293 5403 1383 8188,SXI,$98.29,8:18 AM,10:52 PM,Carol-jean Driffe
FR78 8167 7394 97XQ FLLD ATZ5 R89,ALDR,$95.02,9:32 AM,8:13 PM,Bourke Alishoner
FR09 3174 2420 24HT OSPM UNZK 436,SPRT,$56.59,8:31 AM,7:54 PM,Kerry Turfes
NL53 KITY 0120 2514 34,GAINO,$66.55,9:20 AM,6:04 PM,Bevon Jerred
GI74 CUTF MCLE 7EZ8 IVGT TLC,SKX,$87.34,8:12 AM,10:56 PM,Anny Neeve
GI60 MOLK O2EZ SUKL KKEE RSE,GPIAW,$79.47,8:41 AM,10:25 PM,Lenee Baysting
AD89 6637 0582 BBOL FDGH QLCD,MRNS,$42.55,8:41 AM,10:05 PM,Obidiah Bruyns
AL65 8459 1691 QXNP EAJF EHCN MZW4,NESRW,$33.68,9:08 AM,9:31 PM,Twyla Sparkwell
PK89 ZGKJ CEEI RL7F BKKP AEPP,MUS,$41.34,8:30 AM,6:40 PM,Clarinda Padefield
HU48 0527 6581 6463 5224 5317 6216,FTNT,$90.48,9:40 AM,10:48 PM,Aurthur Teissier
EE48 8174 8488 2843 4365,COHU,$57.31,9:50 AM,8:30 PM,Mano O'Gorman
FO91 7548 1196 8299 39,SYBT,$64.85,9:50 AM,6:06 PM,Boigie Buddock
SM41 E692 8322 336E MLIR QG5E H8Z,IBKC,$42.93,8:59 AM,6:12 PM,Park Gownge
FR18 2374 6615 25I4 BLAH 7KKF K96,SAN^A,$60.08,9:50 AM,9:09 PM,Pincus Chitter
LT23 1501 0720 2673 5019,ASND,$99.43,9:11 AM,6:14 PM,Oona McGraith
BG30 FYMI 1091 74VC LAEL VN,ENDP,$38.86,8:03 AM,6:13 PM,Edan Paolotto
IT83 O085 7564 069B EHXE MS5S IQK,NEE^H,$41.77,9:40 AM,6:23 PM,Dotty Gravestone
NL23 LNWW 4286 1290 25,EXD,$73.61,9:32 AM,8:56 PM,Jorge Gentery
TN59 4349 5117 7641 1579 4507,CUI,$36.36,9:37 AM,10:55 PM,Denney Espinazo
FR23 2293 7916 7674 Q7OP Y6BF C10,RWLK,$95.40,9:30 AM,8:19 PM,Kristen Dwelley
MU58 TRXL 9386 2694 9191 8627 685W RK,NNC,$97.67,9:54 AM,7:50 PM,Lynsey Everley
PS75 NUOL MDXO RCCI KKAL PPFY TY1S O,ABR^A,$58.85,8:58 AM,10:13 PM,Heloise Yeardsley
DE65 4861 5951 6310 9474 03,NVO,$62.96,9:15 AM,7:03 PM,Tiffany Goldsbrough
ES56 0460 8320 0157 9353 4000,WRB^D,$54.80,8:40 AM,10:23 PM,Monah Shepherd
FI94 5877 7877 1988 80,EDUC,$62.87,8:56 AM,9:07 PM,Karlyn Caig
GL22 7559 5053 8107 96,GG,$67.19,9:21 AM,7:31 PM,Durand Curling
GB78 YCAM 8457 4451 1749 71,NXTDW,$84.73,8:35 AM,7:06 PM,Zollie Catteroll
NO02 9072 6538 002,MTOR,$80.68,8:33 AM,9:42 PM,Alexio Balk
PL78 1996 1106 5777 2416 8223 9401,SYT,$88.14,9:02 AM,8:46 PM,Antony Dillingham
MD48 HTCS JHXQ 8QQF XVC2 HBP1,NYNY,$47.76,8:53 AM,9:36 PM,Orly Ubach
FR34 9173 8300 57BX OW5G 0FYJ J51,ALB,$54.59,9:00 AM,7:27 PM,Che Daile
PT53 4423 5581 5357 3004 4188 1,CHEKW,$40.74,8:58 AM,10:46 PM,Eddie Petrollo
LI85 9447 3MZU WERN FMPP Q,CBRL,$46.43,8:55 AM,6:12 PM,Myrna Figin
SA50 2608 9QAC HOZP 1ONW DTFA,CCXI,$31.10,9:03 AM,10:18 PM,Charissa Valde
EE46 7302 3685 9587 8330,HCN^I,$35.33,9:27 AM,8:14 PM,Brnaby Kimmel
IL96 0514 9692 8575 0087 884,CSCO,$69.56,8:34 AM,6:11 PM,Berny Heath
PS42 ZLWT YYCQ IMQN MKCG MZVG KAEH K,BIT,$63.57,8:24 AM,10:39 PM,Vernen Gillio
AL43 4128 2401 3SSQ HHKD OWPU X87Z,SOV^C,$65.97,9:01 AM,8:21 PM,Goldie Legrice
FR80 2290 7890 85DV BZ06 TNAO M24,XOG,$47.02,8:39 AM,8:32 PM,Astrix Saxon
PL24 2880 3253 0633 3487 8094 5968,KNX,$61.16,9:38 AM,9:36 PM,Windy Duester
CR60 2054 9485 5680 9696 2,MPACU,$94.64,9:47 AM,7:04 PM,Katerine Farre
GB03 WPUA 4145 3032 7203 51,LCNB,$94.66,8:30 AM,9:26 PM,Harmon Canedo
ES29 9483 2132 4423 6425 5141,INSM,$87.68,8:59 AM,9:37 PM,Moyna Sprey
VG30 JITP 1328 8384 9676 8393,AIV^A,$87.11,8:07 AM,8:21 PM,Andra Brakespear
